Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,190.91,190.98,189.64,189.78,3175631.0,0.0,1.0,181.80352078561907,181.8701817591406,180.59410026601435,180.72742221305742,3175631.0
2017-12-27,190.6,191.49,190.01,190.19,5912613.0,0.0,1.0,181.50830790288092,182.355854566226,180.94645112605667,181.11786505796917,5912613.0
2017-12-26,188.53,190.42,188.34,190.36,2969182.0,0.0,1.0,179.53704768588742,181.33689397096845,179.3561107577576,181.2797559936643,2969182.0
2017-12-22,188.2,188.46,187.27,188.13,3256519.0,0.0,1.0,179.22278881071452,179.4703867123659,178.33715016250008,179.15612783719303,3256519.0
2017-12-21,187.7,188.84,187.44,188.08,5859058.0,0.0,1.0,178.74663899984654,179.83226056862557,178.49904109819516,179.10851285610622,5859058.0
2017-12-20,187.14,187.9024,186.035,187.31,5383672.0,0.0,1.0,178.21335121167436,178.93938444328592,177.1610601296561,178.3752421473695,5383672.0
2017-12-19,185.235,186.72,184.6,185.98,4496706.0,0.0,1.0,176.39922043226733,177.81338537054526,175.79451017246495,177.10868365046062,4496706.0
2017-12-18,183.96,185.47,183.5,184.73,5011827.0,0.0,1.0,175.18503841455393,176.62301084337525,174.74698058855535,175.9183091232906,5011827.0
2017-12-15,183.005,183.21,182.13,182.58,8201699.0,0.0,1.0,174.27559227579604,174.47081369825193,173.44233010677704,173.87086493655823,8201699.0
2017-12-14,183.88,184.0,182.06,182.13,3542677.0,0.0,1.0,175.10885444481502,175.22313039942335,173.3756691332555,173.44233010677704,3542677.0
2017-12-13,182.01,183.67,182.0,183.03,5176749.0,0.0,1.0,173.3280541521687,174.90887152425046,173.31853115595135,174.29939976633943,5176749.0
2017-12-12,182.75,183.21,181.66,181.8,5274935.0,0.0,1.0,174.03275587225335,174.47081369825193,172.99474928456112,173.12807123160417,5274935.0
2017-12-11,182.9,182.96,181.1201,182.25,6038891.0,0.0,1.0,174.17560081551375,174.2327387928179,172.48060271878586,173.55660606138537,6038891.0
2017-12-08,182.5,183.9,182.16,183.41,5091538.0,0.0,1.0,173.79468096681936,175.12790043724976,173.4708990954291,174.6612736225991,5091538.0
2017-12-07,180.05,182.58,179.77,182.0,5484611.0,0.0,1.0,171.46154689356618,173.87086493655823,171.1949029994801,173.31853115595135,5484611.0
2017-12-06,180.25,182.15,178.68,180.8,6891093.0,0.0,1.0,171.65200681791336,173.46137609921178,170.15689641178787,172.17577160986818,6891093.0
2017-12-05,184.79,184.91,182.2589,182.85,6347228.0,0.0,1.0,175.97544710059478,176.0897230552031,173.56508152801882,174.12798583442694,6347228.0
2017-12-04,183.19,186.31,183.19,184.9,6192507.0,0.0,1.0,174.4517677058172,177.42294252563352,174.4517677058172,176.08020005898575,6192507.0
2017-12-01,180.32,180.6,176.7,180.42,4682482.0,0.0,1.0,171.71866779143488,171.98531168552097,168.27134316075058,171.81389775360847,4682482.0
2017-11-30,178.07,180.67,177.41,179.82,9179321.0,0.0,1.0,169.57599364252889,172.05197265904246,168.94747589218312,171.24251798056687,9179321.0
2017-11-29,176.57,178.43,175.68,177.25,4901810.0,0.89,1.0,168.1475442099249,169.91882150635385,167.29999754657987,168.79510795270537,4901810.0
